DV Distance,Decay Time,,2ms,4ms,6ms,8ms,10ms,16ms,32ms,64ms
204.5081,4.27,,0.636363636,0.545454545,,0.772727273,1.136363636,,,
254.4274,10.62,,0.4,0.32,0.48,0.56,0.72,0.88,1,1.04
310.7879,8.13,,0.6,0.44,,0.68,,0.88,0.98,1.012
315.6188,8.77,,0.529411765,0.529411765,0.647058824,0.764705882,0.823529412,1,1.117647059,
347.8248,10.42,,0.619047619,0.761904762,0.952380952,0.857142857,1.142857143,1.238095238,1.238095238,1.142857143
351.0454,8.16,,0.592592593,0.592592593,0.703703704,0.740740741,0.888888889,1.037037037,1.111111111,1.037037037
394.5235,11.56,,0.45,0.55,0.65,0.8,0.75,1,1.2,1.1
475.0385,19.5,,1,0.6,0.6,0.666666667,0.666666667,0.866666667,1.066666667,1.066666667
491.1415,15.54,,0.466666667,0.4,0.533333333,0.533333333,0.733333333,1.066666667,1.2,1.066666667
504.0239,13.62,,0.277777778,0.277777778,0.444444444,0.444444444,0.833333333,1.166666667,1.111111111,1.055555556
563.605,8.53,,0.615384615,0.307692308,0.423076923,0.538461538,0.576923077,0.692307692,1.038461538,1.038461538
571.6565,5.36,,0.5,0.233333333,,0.433333333,,0.8,1.033333333,0.966666667
571.6565,9.42,,0.535714286,0.464285714,0.535714286,0.678571429,0.785714286,1,,1.142857143
605.4728,5.19,,0.909090909,0.636363636,0.772727273,0.727272727,0.863636364,0.909090909,,
619.9655,4.96,,0.277777778,0.333333333,0.388888889,0.666666667,0.722222222,1,1.277777778,1.222222222
692.429,10.46,,0.53125,0.46875,0.5,0.5625,0.625,0.71875,0.96875,0.9375
740.738,10.56,,0.533333333,0.533333333,0.6,0.733333333,0.866666667,1,1.266666667,1.2
766.5028,9.64,,0.333333333,0.333333333,0.333333333,0.533333333,0.466666667,0.8,1.133333333,1.133333333
780.9955,16.77,,1,0.75,0.75,0.833333333,0.833333333,0.916666667,1.083333333,1.083333333
855.0693,5.22,,0.722222222,0.722222222,0.722222222,0.777777778,0.833333333,0.833333333,0.833333333,0.833333333
856.6796,8.31,,0.615384615,0.461538462,0.538461538,0.615384615,0.769230769,1,1.076923077,1.076923077
909.8195,12.29,,0.642857143,0.571428571,0.857142857,0.857142857,0.857142857,1,,
930.7534,24.18,,1,0.5,0.625,0.625,0.75,0.9375,0.875,0.9375
1069.2392,6.68,,0.533333333,0.533333333,0.666666667,0.733333333,0.733333333,0.933333333,,
1159.416,8.49,,0.434782609,0.391304348,0.52173913,0.608695652,0.608695652,0.869565217,1.086956522,1.043478261
1162.6366,8.76,,0.7,0.6,0.8,0.85,0.9,0.95,,
1169.0778,8.99,,0.583333333,0.583333333,0.666666667,0.833333333,0.916666667,1.166666667,1.166666667,1.083333333
1183.5705,16.73,,0.260869565,0.347826087,0.434782609,0.47826087,0.608695652,0.695652174,0.869565217,0.869565217
1286.6297,5.92,,0.727272727,0.454545455,0.454545455,0.545454545,0.636363636,0.818181818,1.090909091,1.090909091
1355.8726,16.14,,0.818181818,0.545454545,0.545454545,0.545454545,0.727272727,0.818181818,1.181818182,1.181818182
1399.3507,19.2,,0.533333333,0.466666667,0.6,0.666666667,0.733333333,0.933333333,1.2,1.133333333
1484.6966,39.33,,1.153846154,0.615384615,0.615384615,0.692307692,0.538461538,0.692307692,0.769230769,0.846153846
1508.8511,25.27,,1.2,0.9,0.9,0.9,0.7,0.9,1,1
1605.4691,14.01,,0.7,0.6,0.7,0.65,0.8,0.8,0.8,0.8
1648.9472,17.97,,0.7,0.6,0.6,0.65,0.65,0.9,1,1.05
1677.9326,10.95,,0.272727273,0.363636364,0.454545455,0.454545455,0.363636364,0.545454545,0.909090909,1
1747.1755,21.85,,0.357142857,0.428571429,0.571428571,0.571428571,0.357142857,0.642857143,1,0.928571429
1758.4476,17.31,,1.25,0.875,1,0.875,1,1,1,1
1806.7566,34.95,,0.833333333,0.916666667,0.833333333,0.916666667,,0.916666667,1,1
1835.742,19.55,,,,0.578947368,0.631578947,0.842105263,0.894736842,,
1871.1686,13.6,,0.75,0.416666667,,0.625,,0.791666667,0.958333333,1
1885.6613,18.43,,0.714285714,0.642857143,0.714285714,0.714285714,0.642857143,0.857142857,0.928571429,1
